,customerID,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,5375,0,1,0,0.013888888888888888,0,2,0,0,0,1,2,0.11542288557213931,0.3836140888208269,0
1,3962,0,0,0,0.4722222222222222,2,0,2,0,1,0,3,0.3850746268656716,0.22450229709035222,0
2,2564,0,0,0,0.027777777777777776,2,2,0,0,0,1,3,0.35422885572139307,0.024042879019908116,1
3,5535,0,0,0,0.625,2,0,2,2,1,0,0,0.23930348258706463,0.21439509954058192,0
4,6511,0,0,0,0.027777777777777776,0,0,0,0,0,1,2,0.5218905472636816,0.14165390505359876,1
5,6551,0,0,0,0.1111111111111111,0,0,2,0,0,1,2,0.8099502487562189,0.9347626339969372,1
6,1002,0,0,1,0.3055555555555555,0,2,0,0,0,1,1,0.7049751243781094,0.23736600306278713,0
7,4770,0,0,0,0.1388888888888889,2,0,0,0,0,0,3,0.11442786069651739,0.3995405819295559,0
8,5604,0,1,0,0.38888888888888884,0,0,2,2,0,1,2,0.8611940298507462,0.40520673813169983,1
9,4534,0,0,1,0.861111111111111,2,2,0,0,1,0,0,0.3771144278606965,0.46278713629402757,0
10,6871,0,1,1,0.18055555555555555,2,0,0,0,0,1,3,0.3154228855721393,0.7385911179173047,0
11,5288,0,0,0,0.2222222222222222,1,1,1,1,2,0,1,0.006965174129353213,0.43430321592649307,0
12,5751,0,1,0,0.8055555555555555,0,0,2,0,1,0,1,0.8169154228855721,0.7186830015313935,0
13,174,0,0,0,0.6805555555555555,0,2,2,0,0,1,0,0.8502487562189055,0.6531393568147014,1
14,3615,0,0,0,0.3472222222222222,2,0,2,2,0,1,2,0.8681592039800995,0.3578866768759571,0
15,2556,0,1,1,0.9583333333333333,2,2,2,2,2,0,1,0.945273631840796,0.9125574272588055,0
16,5820,0,0,0,0.7222222222222222,1,1,1,1,1,0,3,0.023880597014925342,0.007044410413476263,0
17,7019,0,0,1,0.986111111111111,2,0,2,0,2,0,0,0.8800995024875623,0.8735068912710566,0
18,2937,0,1,1,0.1388888888888889,0,0,2,2,0,0,1,0.36766169154228856,0.6762633996937213,1
19,2928,0,0,0,0.29166666666666663,0,2,2,0,0,1,2,0.7144278606965173,0.21944869831546707,0
20,6207,1,0,0,0.013888888888888888,0,0,2,0,0,1,2,0.21293532338308457,0.5114854517611026,1
21,1141,0,1,0,0.16666666666666666,1,1,1,1,1,0,0,0.015422885572139305,0.252833078101072,0
22,723,0,0,0,0.013888888888888888,1,1,1,1,0,0,3,0.018905472636815884,0.24640122511485452,1
23,2541,0,1,0,0.8055555555555555,0,2,0,2,2,1,1,0.4144278606965174,0.4656967840735069,0
24,4479,0,1,1,0.6805555555555555,2,2,0,2,0,0,1,0.4114427860696518,0.3931087289433384,0
25,4873,0,0,0,0.41666666666666663,2,2,0,0,0,1,0,0.3686567164179104,0.14686064318529862,0
26,4584,0,1,1,0.6527777777777778,0,2,0,0,0,1,2,0.8069651741293532,0.6154670750382848,1
27,6119,0,1,1,0.013888888888888888,0,2,0,0,0,0,2,0.11890547263681589,0.396937212863706,1
28,3733,0,1,0,1.0,2,2,2,2,2,1,1,0.7164179104477612,0.7863705972434916,0
29,6199,0,0,1,0.2361111111111111,0,0,0,0,0,1,3,0.4621890547263682,0.02817764165390505,1
30,2700,1,1,0,0.986111111111111,2,2,2,2,2,1,1,0.7771144278606964,0.8199081163859111,0
31,3481,1,1,0,0.027777777777777776,0,0,2,0,0,1,1,0.7686567164179104,0.20826952526799386,0
32,4844,0,1,1,0.375,2,2,2,2,1,0,3,0.47661691542288565,0.22189892802450228,0
33,5194,0,0,0,0.013888888888888888,1,1,1,1,0,0,0,0.019402985074626844,0.2465543644716692,0
34,2384,1,0,0,0.013888888888888888,0,0,0,0,0,0,0,0.26865671641791045,0.5842266462480857,0
35,4423,0,1,1,1.0,2,2,0,2,2,0,0,0.8124378109452737,0.8643185298621745,0
36,4292,0,0,0,0.06944444444444445,0,0,0,0,0,1,2,0.5119402985074627,0.4199081163859112,1
37,4656,0,0,0,0.6388888888888888,0,0,2,0,0,1,1,0.5626865671641791,0.47059724349157733,0
38,3828,0,0,0,0.4722222222222222,0,2,2,0,0,1,2,0.8766169154228854,0.47075038284839205,1
39,5803,0,0,0,0.15277777777777776,0,0,2,0,0,1,0,0.7920398009950248,0.030934150076569678,1
40,6263,0,1,1,0.1388888888888889,0,2,0,0,1,0,3,0.3114427860696517,0.6162327718223584,0
41,6671,0,1,1,0.9722222222222222,2,2,0,0,2,1,1,0.5069651741293533,0.6306278713629403,0
42,6956,0,1,1,0.2361111111111111,1,1,1,1,1,0,3,0.02487562189054726,0.5470137825421133,0
43,3268,0,0,0,0.875,2,2,2,2,2,1,1,0.6129353233830845,0.6286370597243491,0
44,2862,0,1,0,0.18055555555555555,2,2,0,2,0,1,2,0.5766169154228856,0.9958652373660031,0
45,2599,0,0,0,0.6805555555555555,0,0,0,0,0,1,2,0.6592039800995024,0.5127105666156202,0
46,4212,0,0,0,0.027777777777777776,0,2,0,0,0,0,3,0.30845771144278605,0.9924961715160796,0
47,5510,0,0,0,0.027777777777777776,0,0,0,0,0,1,2,0.6208955223880598,0.12388973966309341,1
48,5427,0,0,0,0.7222222222222222,2,0,0,2,2,1,1,0.6119402985074627,0.5511485451761102,0
49,2047,0,1,1,0.9583333333333333,2,0,2,2,2,1,1,0.4567164179104478,0.5551301684532924,0
50,5686,1,0,0,0.5972222222222222,0,2,0,0,0,1,2,0.7164179104477612,0.503062787136294,0
51,6630,0,0,0,0.20833333333333331,2,2,0,0,0,1,1,0.8044776119402984,0.12082695252679938,1
52,4658,1,1,0,0.3472222222222222,2,0,0,2,0,1,1,0.5099502487562189,0.19525267993874426,0
53,5305,1,1,0,0.1111111111111111,0,2,0,0,0,1,1,0.6208955223880598,0.7830015313935681,1
54,3265,1,1,1,0.8333333333333333,2,2,2,2,1,1,1,0.56318407960199,0.5791730474732006,0
55,1129,1,0,0,0.25,0,0,0,0,0,1,2,0.7681592039800995,0.19509954058192955,1
56,6198,0,1,1,0.875,2,0,0,0,1,1,1,0.8099502487562189,0.7816232771822358,0
57,3578,1,1,1,0.9166666666666666,0,2,2,2,1,1,2,0.8975124378109453,0.8506891271056661,0
58,2783,0,1,1,0.4722222222222222,1,1,1,1,2,0,1,0.06666666666666665,0.9669218989280245,0
59,4218,0,0,0,1.0,0,0,2,2,2,1,1,0.8880597014925372,0.909188361408882,0
60,295,0,1,0,0.6527777777777778,0,0,2,0,0,1,2,0.818407960199005,0.610260336906585,0
61,832,0,0,0,0.8333333333333333,0,2,0,0,0,1,0,0.7129353233830846,0.6937212863705973,0
62,358,0,1,0,1.0,2,2,2,0,2,0,0,0.2373134328358209,0.3917304747320061,0
63,374,0,1,1,0.25,0,0,2,2,1,1,1,0.3597014925373134,0.9891271056661561,0
64,4043,0,0,0,0.125,0,0,0,0,0,0,2,0.7577114427860697,0.9546707503828483,1
65,3609,0,0,0,0.041666666666666664,0,2,0,2,0,1,2,0.5676616915422885,0.3194486983154671,0
66,6090,0,1,0,0.6527777777777778,0,2,0,0,1,1,2,0.6034825870646766,0.48346094946401225,0
67,2382,0,0,0,0.4305555555555555,0,2,2,2,2,0,3,0.6064676616915423,0.32817764165390506,0
68,2215,0,1,1,0.6944444444444444,1,1,1,1,2,0,0,0.018905472636815884,0.9799387442572741,0
69,5262,0,0,0,0.1388888888888889,2,0,2,0,0,1,3,0.6129353233830845,0.9632465543644716,0
70,1562,0,0,0,0.013888888888888888,0,0,0,2,0,0,3,0.30646766169154227,0.6335375191424196,0
71,501,0,1,1,0.7222222222222222,1,1,1,1,1,1,2,0.021393034825870627,0.02771822358346095,0
72,1272,1,1,1,0.8888888888888888,2,0,2,2,2,1,0,0.9288557213930347,0.8519142419601837,0
73,5697,0,1,1,0.861111111111111,1,1,1,1,2,1,0,0.05970149253731341,0.12021439509954057,0
74,3994,0,0,1,0.041666666666666664,2,0,0,2,0,1,0,0.46019900497512434,0.19831546707503828,0
75,1836,1,0,0,0.7777777777777777,2,2,2,0,1,0,2,0.917910447761194,0.7670750382848391,0
76,4550,0,0,0,0.6388888888888888,0,0,0,0,1,0,1,0.37213930348258706,0.3581929555895865,0
77,3970,0,1,1,0.1111111111111111,2,2,0,0,0,0,3,0.3621890547263681,0.6234303215926493,0
78,108,1,0,0,0.41666666666666663,2,2,0,0,0,1,2,0.5621890547263682,0.26676875957120977,0
79,2731,0,1,1,0.625,1,1,1,1,1,1,1,0.07611940298507458,0.06079632465543645,0
80,4191,0,0,1,0.013888888888888888,0,0,0,0,0,1,2,0.607960199004975,0.9136294027565084,1
81,5766,0,1,1,0.15277777777777776,2,0,0,0,0,0,2,0.32139303482587056,0.7160796324655436,0
82,6488,0,1,0,0.09722222222222221,0,0,2,0,0,1,0,0.5661691542288557,0.6430321592649311,1
83,6989,0,0,0,0.5833333333333333,0,2,2,2,0,1,0,0.8512437810945274,0.5638591117917304,0
84,202,0,1,0,0.6805555555555555,1,1,1,1,2,1,0,0.018905472636815884,0.9940275650842266,0
85,3100,0,0,0,0.125,0,2,0,0,0,1,1,0.8064676616915423,0.9745788667687595,0
86,3376,0,1,0,0.4861111111111111,2,0,0,0,1,1,0,0.43681592039800987,0.28361408882082695,0
87,1258,0,1,1,0.6666666666666666,1,1,1,1,2,0,0,0.023880597014925342,0.016539050535987747,0
88,1920,0,1,1,0.6388888888888888,1,1,1,1,2,1,3,0.01691542288557213,0.9773353751914242,0
89,2103,0,1,0,0.40277777777777773,0,0,0,0,0,0,3,0.154228855721393,0.002909647779479326,0
