,tenure,MonthlyCharges,total_charges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,senior_yes_Yes,multiple_lines_Yes,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check
0,1,29.85,29.85,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
1,34,56.95,1889.5,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
2,2,53.85,108.15,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True
3,45,42.3,1840.75,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
4,2,70.7,151.65,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
5,8,99.65,820.5,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False
6,22,89.1,1949.4,True,False,True,True,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False
7,10,29.75,301.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
8,28,104.8,3046.05,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False
9,62,56.15,3487.95,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
10,13,49.95,587.45,True,True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
11,16,18.95,326.8,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
12,58,100.35,5681.1,True,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,True,False,False
13,49,103.7,5036.3,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False
14,25,105.5,2686.05,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False
15,69,113.25,7895.15,False,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False
16,52,20.65,1022.95,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
17,71,106.7,7382.25,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False
18,10,55.2,528.35,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False
19,21,90.05,1862.9,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,True,False
20,1,39.65,39.65,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False
21,12,19.8,202.25,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,1,20.15,20.15,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
23,58,59.9,3505.1,False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False
24,49,59.6,2970.3,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False
25,30,55.3,1530.6,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
26,47,99.35,4749.15,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False
27,1,30.2,30.2,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
28,72,90.25,6369.45,True,True,False,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,False
29,17,64.7,1093.1,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True
30,71,96.35,6766.95,False,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False
31,2,95.5,181.65,True,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,True,True,False,False
32,27,66.15,1874.45,False,True,True,True,False,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True
33,1,20.2,20.2,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,1,45.25,45.25,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35,72,99.9,7251.7,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False
36,5,69.7,316.9,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
37,46,74.8,3548.3,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False
38,34,106.35,3549.25,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,True,False,True,False
39,11,97.85,1105.4,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False
40,10,49.55,475.7,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
41,70,69.2,4872.35,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,True,False,False
